"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009326354","CAM-OR INC.","SR 2 & US 421","WESTVILLE","IN","46391","LAPORTE","IND005480462","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501297","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.546528 -86.899306"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009329173","SOUTH BAY ASBESTOS AREA","FT OF LIBERTY ST GUADALUPE RIV","ALVISO","CA","95002","SANTA CLARA","CAD980894885","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902250","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:37.429861 -121.9811"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332613","PHOENIX-GOODYEAR AIRPORT AREA","BETWEEN LWR BUCKEYE ROAD & VAN BUREN","GOODYEAR","AZ","85338","MARICOPA","AZD980695902","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900672","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.429719 -112.3653"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009333104","BLM-ATLAS ASBESTOS CO","LOS GATOS CREEK ROAD NORTHWEST OF FRESNO","COALINGA","CA","93210","FRESNO","CAD980496863","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901736","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:36.321669 -120.5867"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009335237","LCP CHEMICALS, GEORGIA","4014 ROSS ROAD","BRUNSWICK","GA","31520","GLYNN","GAD099303182","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401634","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:31.189444 -81.508333"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009336502","TRI-CITY DISPOSAL CO.","RTE. 1526 AT THE GRAVEL ROAD","SHEPHERDSVILLE","KY","40165","BULLITT","KYD981028350","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402195","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:38.047781 -85.768331"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009337672","SACO MUNICIPAL LANDFILL","FOSS RD","SACO","ME","04072","YORK","MED980504393","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101010","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.5302 -70.4815"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009338591","WAITE PARK WELLS","253 N 5TH AVE","WAITE PARK","MN","56387","STEARNS","MND981002249","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0503924","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:45.561669 -94.215"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009339279","LEE CHEMICAL","HWY 210 E OF HWY 291","LIBERTY","MO","64068","CLAY","MOD980853519","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0701378","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.201111 -94.3925"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009339554","NEWTON COUNTY MINE TAILINGS","ENTIRE TOWN OF","GRANBY","MO","64844","NEWTON","MOD981507585","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0701651","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:36.9921 -94.3848"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009340953","OMAHA LEAD","INTERSECTION I480 & ABBOTT DRIVE","OMAHA","NE","68102","DOUGLAS","NESFN0703481","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0703481","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.267778 -95.929722"
